"","x"
"157",0.0146822780549237
"158",0.0148154816429761
"159",0.0149537805483581
"160",0.0150854170994067
"161",0.0152186090021742
"162",0.0153482073646609
"163",0.0154776883401463
"164",0.0156098761215168
"165",0.015744209900336
"166",0.0158678610975115
"167",0.0159643649074501
"168",0.0160651365994359
"169",0.016170096381619
"170",0.0162791632461611
"171",0.0163922552131023
"172",0.0165092895643574
"173",0.0166301830669455
"174",0.0167548521847385
"175",0.0168832132781873
"176",0.0170151827916448
"177",0.0171506774280613
"178",0.0172896143109596
"179",0.0174319111337246
"180",0.0175774862963508
"181",0.015838281943926
"182",0.015595930269219
"183",0.0153581742863409
"184",0.0151131140667497
"185",0.0148746848787879
"186",0.0146452019224377
"187",0.0144193003066062
"188",0.014203825546013
"189",0.0140023769159228
"190",0.0138223917786929
"191",0.0136617306365497
"192",0.0135274294892874
"193",0.0134023496014774
"194",0.0132874023793311
"195",0.0131915136249834
"196",0.0131144104797186
"197",0.0130548538064397
"198",0.013011855594773
"199",0.0129844742357882
"200",0.012971820576803
"201",0.0129731373182988
"202",0.0129878116487615
"203",0.0130153579061433
"204",0.0130553853088466
"205",0.0131075605423596
"206",0.0131715687316041
"207",0.0132481095881526
"208",0.0133423996847143
"209",0.0134455652410913
"210",0.0135551089977565
"211",0.0136784582065732
"212",0.0138068184482102
"213",0.0139144686596538
"214",0.0140329281419961
"215",0.0141604383544533
"216",0.0142952475641501
"217",0.0144321776404562
"218",0.0145747081694206
"219",0.014722138825147
"220",0.0148720836799758
"221",0.0150126784118074
"222",0.0151569161336348
"223",0.015297948871604
"224",0.0154349071562838
"225",0.0155737090545169
"226",0.0157138716883381
"227",0.0158287852158059
"228",0.0159300942854885
"229",0.016035619802583
"230",0.0161452790912215
"231",0.0162589885105401
"232",0.0163766636959523
"233",0.0164982197890187
"234",0.0166235716551893
"235",0.0167526340888728
"236",0.0168853220054612
"237",0.0170215506200982
"238",0.01716123561312
"239",0.0173042932822313
"240",0.0174506406815891
"241",0.0156262671852488
"242",0.0153723117658446
"243",0.0151129076461083
"244",0.0148548532451623
"245",0.0146032353727663
"246",0.0143566041633084
"247",0.0141155263255537
"248",0.013890139891425
"249",0.0136818882184255
"250",0.013494876510732
"251",0.0133321113773307
"252",0.0131860104859197
"253",0.0130444464252791
"254",0.0129235922653942
"255",0.0128236234743074
"256",0.0127443975900514
"257",0.0126839409021666
"258",0.0126437202944112
"259",0.0126214827112777
"260",0.012613253965379
"261",0.0126182040075817
"262",0.0126357360655849
"263",0.012665443548334
"264",0.0127070561208792
"265",0.0127603879991301
"266",0.0128252900410635
"267",0.0129015997717841
