ID,V1,V2,V3,V4,V5,V6,V7,V9,V10,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
1044,0.00773448,-0.006795713,-0.009872848,-0.001559458,-0.002228626,0.102870401,0.004005015,-0.019476903,-0.015892824,-0.020689114,-0.022184421,-0.027487763,0.065929613,-0.008945133,-0.036886939,-0.018906264,-0.009925722,0.661757816,0.492187224,0.164496966,-0.018525201,0.350396095,0.018240055,0.950420158,0.295456975,1,0.70547695,0.547886828,0.086381966,0.066691398,0.219060906,-0.007772736,-0.013743065,0.161461939,0.248751035,0.213884661,-0.017237472,0.003081894,-0.034238598,0.525008184,0.533247059,-0.000130862,0.025274224,0.061831921,0.011327485,0.18972412,0.135146783,0.3184198
1045,-0.021068861,-0.024223181,-0.009473811,-0.018749335,-0.021569918,0.031696606,-0.019280549,-0.006324509,-0.020822227,-0.031465324,-0.02757544,-0.014043019,0.069546083,-0.007919643,-0.03735692,-0.017701752,-0.008484785,0.813047135,0.64417805,0.358492298,0.009707654,0.635033046,0.013100186,0.677762808,0.453568718,0.70547695,1,0.595940353,0.190466673,0.094663896,0.231974858,-0.003851036,-0.000618845,0.222186015,0.339068644,0.290333678,-0.007262614,0.023234325,-0.017260805,0.709610647,0.712429979,0.008833298,0.059245184,0.272581755,0.087727759,0.353123619,0.256308176,0.592245505
1046,-0.008325895,-0.02608477,-0.009715319,-0.027187504,-0.027232399,0.094806523,-0.025386483,-0.026908189,-0.020307723,-0.034150704,-0.029023386,-0.031234237,0.075963156,-0.014521457,-0.041366187,-0.019694228,-0.007693323,0.355190833,0.316899478,0.444650157,-0.014798865,0.305371545,0.004819594,0.635415609,0.274383748,0.547886828,0.595940353,1,0.164413658,0.068082994,0.209862312,-0.006262308,-0.012622318,0.187969715,0.287302316,0.246364043,-0.00900973,0.017650928,-0.031107321,0.572109352,0.567154382,0.002245609,0.020464222,0.105005622,0.031189314,0.204456534,0.144704287,0.371188344
1047,-0.004170595,-0.011226436,0.018832006,0.001131454,-0.013385609,0.018954893,0.001233731,-0.008073755,-0.013239785,-0.017293129,-0.016504585,-0.003408241,-0.004754859,-0.001433593,-0.006288155,0.007242608,-0.005455281,0.044970835,0.032436325,0.043321801,0.04940993,0.032971523,-0.004447916,0.072354523,0.136167314,0.086381966,0.190466673,0.164413658,1,0.026607932,0.229478008,-0.004441604,-0.012418311,0.021956659,0.037035295,0.027894225,0.001131128,0.012119403,-0.012704646,0.054196535,0.059349879,-0.006195581,-0.003670364,0.004746563,0.001043255,0.099428766,-0.001185538,0.040306066
1048,0.081189021,0.022203553,0.089650938,0.132539076,0.04831697,0.316320799,0.120011709,-0.040269886,0.127302066,-0.000703866,0.017917786,0.083384711,-0.018208175,0.024296505,0.12399448,0.049152621,-0.000554516,0.072793387,0.03852891,0.031311088,0.202383903,0.033862337,-0.008369076,0.08759938,0.219026233,0.066691398,0.094663896,0.068082994,0.026607932,1,0.118494362,-0.001968469,0.080528933,0.023535939,0.047966628,0.075690174,0.203292886,0.147507779,0.190294398,0.114034995,0.077442905,-0.012431716,0.131507365,0.119262993,0.049115821,0.056448594,0.042873774,0.049098052
1049,0.15884988,0.054741373,0.286583149,0.28266423,0.086611223,0.307550803,0.265720588,-0.041074877,-0.00151438,0.212658428,0.110104,0.386550239,0.017503726,0.129902948,0.252064774,0.256418273,-0.002748909,0.138393113,0.124681595,0.033601421,0.251589926,0.117465376,0.216762159,0.250690041,0.182440834,0.219060906,0.231974858,0.209862312,0.229478008,0.118494362,1,0.118926529,0.122723565,0.091350002,0.149698456,0.118342831,0.074049868,0.094283602,0.128038094,0.219111364,0.215339018,0.014423175,0.009429995,0.046599446,0.20434138,0.17027465,0.120955613,0.163596289
1050,-0.010529813,-0.009149336,-0.00351487,-0.007328525,0.007953171,-0.008088522,-6.88E-05,-0.013282021,-0.007576651,0.226199351,0.257123693,0.325449601,-0.014167452,0.028979064,0.404858333,0.002397825,-0.00341374,0.000143594,0.018893089,0.001231834,0.331937728,0.033318027,-0.012205013,-0.00842971,0.001753731,-0.007772736,-0.003851036,-0.006262308,-0.004441604,-0.001968469,0.118926529,1,0.28980893,0.000528596,-0.005301458,-0.008608078,0.018013538,0.031428416,0.198988535,0.004337412,0.002150645,0.010144969,0.002481529,-0.002292173,0.206738238,0.039454575,0.021412696,-0.006042471
1051,-0.028866317,-0.021380117,-0.007880955,0.005648349,0.011662118,0.010113787,0.007291439,-0.029710708,-0.013778268,0.463136073,0.464753297,0.395983143,-0.03224751,0.374271993,0.328943734,0.327711111,-0.007636235,0.014391282,0.039175521,0.023170408,0.393227031,0.025449338,-0.027570917,-0.015163121,0.138787933,-0.013743065,-0.000618845,-0.012622318,-0.012418311,0.080528933,0.122723565,0.28980893,1,0.392906508,0.088835749,-0.020361304,0.243692341,0.035374289,0.120129054,0.017740792,0.007957545,0.143417832,0.204180418,0.047790797,0.635095741,0.007464987,0.102356399,-0.003455905
1052,-0.016698643,-0.018265377,-0.006728025,-0.020255856,-0.020145315,0.019779516,-0.019276468,-0.025231574,-0.014449453,-0.025801295,-0.021920218,-0.019909511,0.073898184,-0.009614839,-0.027736645,-0.014498223,-0.006521889,0.223805844,0.247795151,0.113510246,-0.023565225,0.232764398,-0.019139091,0.205024375,0.237895082,0.161461939,0.222186015,0.187969715,0.021956659,0.023535939,0.091350002,0.000528596,0.392906508,1,0.738333869,0.569832235,-0.005726771,0.041947048,0.023216367,0.229334794,0.250413367,0.030965248,0.196274793,0.187641221,0.293625649,0.242993172,0.206752163,0.44875036
1053,-0.014909672,-0.020172678,-0.007439694,-0.020793329,-0.018226201,0.04015615,-0.017316854,-0.027996441,-0.016024771,0.041618046,0.040655479,0.003292171,0.120361178,0.083066482,-0.015100884,0.018869764,-0.007209716,0.345578364,0.386371476,0.185576359,0.023635935,0.355721934,-0.019096254,0.311631475,0.381546413,0.248751035,0.339068644,0.287302316,0.037035295,0.047966628,0.149698456,-0.005301458,0.088835749,0.738333869,1,0.852016339,0.011862698,0.076834436,0.037381705,0.340047698,0.347315075,0.05552925,0.040559168,0.272749453,0.140768957,0.355691574,0.308554073,0.655607773
1054,-0.020563578,-0.022907547,-0.008376553,-0.025584843,-0.025131735,0.026990607,-0.024087976,-0.031351315,-0.018195005,-0.034793681,-0.030210756,-0.02832633,0.097690843,-0.012619293,-0.037420409,-0.018050087,-0.008188735,0.295444851,0.319401524,0.165954745,-0.016327194,0.30089828,0.012982893,0.273058746,0.310636727,0.213884661,0.290333678,0.246364043,0.027894225,0.075690174,0.118342831,-0.008608078,-0.020361304,0.569832235,0.852016339,1,0.214198729,0.201038268,0.256922379,0.316415926,0.299508182,-0.004949477,0.002976549,0.239660492,0.07265152,0.320907184,0.251215972,0.569600338
1055,-0.042434321,-0.016266167,-0.01731591,0.001902011,-0.011968412,0.091964181,0.006079301,-0.022986916,-0.023431555,0.078640557,0.089348002,0.116808408,-0.021619988,-0.022399054,0.132524154,0.145184608,-0.019197603,-0.005574654,0.000273991,-0.002435922,0.083273492,-0.00071244,-0.028991024,-0.01036384,0.035462021,-0.017237472,-0.007262614,-0.00900973,0.001131128,0.203292886,0.074049868,0.018013538,0.243692341,-0.005726771,0.011862698,0.214198729,1,0.347759623,0.405552146,0.024062275,-0.012213502,-0.009042051,0.136991215,0.028181459,0.364064562,0.015688126,0.085971372,0.061664775
1056,0.172130309,-0.021470944,0.037361894,-0.006053586,-0.015763429,0.059259873,0.031805559,-0.00368003,-0.028663929,0.022957751,0.029286408,-0.001043611,0.000423713,0.07759458,-0.005257092,0.048403179,-0.012052619,0.026163107,0.109692351,0.024158159,0.033876983,0.050528907,-0.043143539,0.015954029,0.138484305,0.003081894,0.023234325,0.017650928,0.012119403,0.147507779,0.094283602,0.031428416,0.035374289,0.041947048,0.076834436,0.201038268,0.347759623,1,0.624962862,0.02596735,-0.000416104,0.162241422,-0.020039728,0.118308254,0.13032131,0.181294233,0.1009231,0.217313055
1057,0.084982821,0.002618276,0.143467341,0.062727302,0.005642376,0.135925481,0.116732471,0.043755986,-0.053480525,0.097452829,0.103630526,0.106504531,-0.001876919,0.098680273,0.132983933,0.154957775,-0.009076097,0.001947673,0.038356242,0.011285917,0.147273923,0.017127862,0.000143632,-0.019466694,0.078015087,-0.034238598,-0.017260805,-0.031107321,-0.012704646,0.190294398,0.128038094,0.198988535,0.120129054,0.023216367,0.037381705,0.256922379,0.405552146,0.624962862,1,0.023607489,-0.017575671,0.038103401,9.67E-05,0.135873751,0.195607154,0.114879101,0.09252938,0.113503404
1058,0.00466051,-0.017131334,0.008510769,-0.008451582,-0.013751578,0.097663842,-0.005367507,-0.027314898,-0.012116083,0.002821412,0.006243362,0.00141179,0.020506862,0.015484064,-0.010380944,0.008683797,0.005995307,0.413066868,0.438965327,0.123872239,0.016084394,0.557899197,-0.001631456,0.656876305,0.059392416,0.525008184,0.709610647,0.572109352,0.054196535,0.114034995,0.219111364,0.004337412,0.017740792,0.229334794,0.340047698,0.316415926,0.024062275,0.02596735,0.023607489,1,0.993434922,0.038458964,0.085678436,0.164629416,0.081852665,0.367969647,0.323012611,0.655248578
1059,0.003957619,-0.011329792,-0.004175778,-0.012892763,-0.009345158,0.083430158,-0.011241735,-0.015738739,-0.008935805,-0.016498732,-0.014143529,-0.011220349,0.034411215,-0.007191914,-0.015904291,-0.008992441,-0.004045165,0.413230811,0.442521417,0.107490976,-0.011834334,0.56400619,-0.002244651,0.664308473,0.052317001,0.533247059,0.712429979,0.567154382,0.059349879,0.077442905,0.215339018,0.002150645,0.007957545,0.250413367,0.347315075,0.299508182,-0.012213502,-0.000416104,-0.017575671,0.993434922,1,0.021188623,0.07716255,0.165451303,0.065667447,0.363462852,0.311364895,0.665446225
1060,-0.017109704,-0.012250583,-0.004648916,-0.014342595,-0.016984663,-0.009973735,-0.006593057,-0.01240059,-0.010010601,0.295892658,0.283336498,0.069048056,-0.009534185,0.368579469,0.037792405,0.105979225,-0.004503876,0.014972559,0.03090415,-0.002919085,0.144046641,0.012441776,-0.016372421,0.003555462,0.04422964,-0.000130862,0.008833298,0.002245609,-0.006195581,-0.012431716,0.014423175,0.010144969,0.143417832,0.030965248,0.05552925,-0.004949477,-0.009042051,0.162241422,0.038103401,0.038458964,0.021188623,1,-0.000634175,0.011454156,0.163687256,0.195206506,0.045340193,0.00786684
1061,-0.011313157,0.00161003,-0.008542759,0.060065728,0.051832613,0.027285925,0.033356347,-0.018300848,-0.018327515,0.018959191,0.040079601,0.160857606,-0.000532503,-0.001559478,0.023548135,-0.010062507,-0.008320942,0.039276918,0.016611107,0.016131642,0.079444794,0.03160105,-0.028309321,0.028114092,0.148361023,0.025274224,0.059245184,0.020464222,-0.003670364,0.131507365,0.009429995,0.002481529,0.204180418,0.196274793,0.040559168,0.002976549,0.136991215,-0.020039728,9.67E-05,0.085678436,0.07716255,-0.000634175,1,0.139690792,0.156263227,0.072547651,0.134181721,0.043011088
1062,-0.037035059,-0.025474722,-0.010500416,0.046370403,0.141071483,0.017172134,0.116686065,0.0040453,-0.022633666,-0.021197578,-0.012719524,0.081712069,0.32420369,0.022295744,-0.011663967,-0.022130027,-0.010183128,0.309521804,0.389852054,0.121774434,0.052085296,0.365271511,-0.030650431,0.076172089,0.389843138,0.061831921,0.272581755,0.105005622,0.004746563,0.119262993,0.046599446,-0.002292173,0.047790797,0.187641221,0.272749453,0.239660492,0.028181459,0.118308254,0.135873751,0.164629416,0.165451303,0.011454156,0.139690792,1,0.14395091,0.168161359,0.163354706,0.338887782
1063,0.106438899,0.020187936,0.246160768,0.115680373,0.030233866,0.120317298,0.148073404,-0.03588642,-0.021180286,0.282248567,0.305010495,0.319006666,0.01372375,0.140519351,0.316269324,0.473933771,-0.009529237,0.104640749,0.132889357,0.036270171,0.223313253,0.143817454,-0.027354854,0.012572549,0.113005948,0.011327485,0.087727759,0.031189314,0.001043255,0.049115821,0.20434138,0.206738238,0.635095741,0.293625649,0.140768957,0.07265152,0.364064562,0.13032131,0.195607154,0.081852665,0.065667447,0.163687256,0.156263227,0.14395091,1,0.23984257,0.208027919,0.124091258
